lemma,sense_name,definition,example,example_source,contains_word,Notes
cow,cow.n.01,female of domestic cattle:,"The cow says ""moo""",hand_written,TRUE,
push,press.v.11,make strenuous pushing movements during birth to expel the baby,"`Now push hard,' said the doctor to the woman",wordnet,TRUE,
head,head.n.02,a single domestic animal,200 head of cattle,wordnet,TRUE,
make,make.v.25,form by assembling individuals or constituents,5 more people and we'll have enough to make a proper group,hand_written,TRUE,
horse,cavalry.n.01,troops trained to fight on horseback,500 horse led the attack,wordnet,TRUE,
bad,bad.s.06,not capable of being collected,A bad (or uncollectible) debt,wordnet,TRUE,
bad,bad.s.07,below average in quality or performance,A bad chess player,wordnet,TRUE,
bad,bad.s.02,very intense,A bad headache,wordnet,TRUE,
bad,bad.s.09,not financially safe or secure,A bad investment,wordnet,TRUE,
bad,bad.a.01,having undesirable or negative qualities,A bad report card,wordnet,TRUE,
bad,bad.s.14,not working properly,A bad telephone connection,wordnet,TRUE,
ball,ball.n.03,an object with a spherical shape,A ball of fire,wordnet,TRUE,
ball,ball.n.08,a compact mass,A ball of mud caught him on the shoulder,wordnet,TRUE,
bite,sting.v.02,deliver a sting to,A bee bit my arm yesterday,hand_written,FALSE,
belt,belt.n.03,an elongated region where a specific condition or characteristic is found,A belt of high pressure,wordnet,TRUE,
big,big.s.05,conspicuous in position or importance,A big figure in the movement,wordnet,TRUE,
big,big.s.04,loud and firm,A big voice,wordnet,TRUE,
big,big.s.10,marked by intense physical force,A big wind,wordnet,TRUE,
black,black.s.08,extremely dark,A black moonless night,wordnet,TRUE,
blue,blue.s.08,causing dejection,A blue day,wordnet,TRUE,
blue,aristocratic.s.01,belonging to or characteristic of the nobility or aristocracy,A blue family,wordnet,TRUE,
blue,blue.s.05,suggestive of sexual impropriety,A blue movie,wordnet,TRUE,
broken,broken.s.03,subdued or brought low in condition or status,A broken man,wordnet,TRUE,
broken,broken.a.01,physically and forcibly separated into pieces or cracked or split,A broken mirror,wordnet,TRUE,
broken,broken.s.13,lacking a part or parts,A broken set of encyclopedia,wordnet,TRUE,
broken,broken.s.11,out of working order,A broken washing machine,wordnet,TRUE,
bus,bus_topology.n.01,the topology of a network whose components are connected by a busbar,A bus is when all the nodes are connected to a single cable,hand_written,TRUE,
butt,butt.n.08,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),A butt cracked and the storeroom flooded,hand_written,TRUE,
coffee,coffee_bean.n.01,a seed of the coffee tree; ground to make coffee,A buy my own coffee beans,hand_written,TRUE,
cake,patty.n.01,small flat mass of chopped food,A cake of meatballs,hand_written,TRUE,
pool,pool.n.03,an organization of people or resources that can be shared,A car pool,wordnet,TRUE,
cute,cute.s.02,obviously contrived to charm,A child with intolerably cute mannerisms,wordnet,TRUE,
chips,bit.n.02,a small fragment of something broken off from the whole,A chip of rock cuaght him in the eye,hand_written,FALSE,
chips,chip.n.08,(golf) a low running approach shot,A chip shot,hand_written,FALSE,
clean,uninfected.s.01,free from sepsis or infection,A clean (or uninfected) wound,wordnet,TRUE,
clean,clean.s.02,free of restrictions or qualifications,A clean bill of health,wordnet,TRUE,
clean,clean.s.13,exhibiting or calling for sportsmanship or fair play,A clean fight,wordnet,TRUE,
clean,clean.a.07,not spreading pollution or contamination; especially radioactive contamination,A clean fuel,wordnet,TRUE,
clean,clean.s.15,thorough and without qualification,A clean getaway,wordnet,TRUE,
clean,clean.s.11,(of a manuscript) having few alterations or corrections,A clean manuscript,wordnet,TRUE,
clean,blank.s.01,(of a surface) not written or printed on,A clean page,wordnet,TRUE,
clean,clean.s.14,without difficulties or problems,A clean test flight,wordnet,TRUE,
clean,clean.s.05,(of a record) having no marks of discredit or offense,A clean voting record,wordnet,TRUE,
cold,cold.s.10,feeling or showing no enthusiasm,A cold audience,wordnet,TRUE,
cold,cold.s.04,(color) giving no sensation of warmth,A cold bluish grey,wordnet,TRUE,
cold,cold.a.01,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,A cold climate,wordnet,TRUE,
cold,cold.s.03,having lost freshness through passage of time,A cold trail,wordnet,TRUE,
cold,cold.a.02,extended meanings; especially of psychological coldness; without human warmth or emotion,A cold unfriendly nod,wordnet,TRUE,
mad,harebrained.s.01,very foolish,A completely mad scheme to build a bridge between two mountains,wordnet,TRUE,
chips,chip.n.07,electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit,A computer chip,hand_written,FALSE,
hold,hold.v.02,have or hold in one's hands or grip,A crazy idea took hold of him,wordnet,TRUE,
bat,cricket_bat.n.01,the club used in playing cricket,A cricket bat has a narrow handle and a broad flat end for hitting,wordnet,TRUE,
cute,cunning.s.01,attractive especially by means of smallness or prettiness or quaintness,A cute kid with pigtails,wordnet,TRUE,
dark,dark.s.06,showing a brooding ill humor,A dark scowl,wordnet,TRUE,
pull,pull.v.09,"cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense",A declining dollar pulled down the export figures for the last quarter,wordnet,TRUE,
dirty,dirty.s.03,vile; despicable,A dirty (or lousy) trick,wordnet,TRUE,
dirty,cheating.s.02,violating accepted standards or rules,A dirty fighter,wordnet,TRUE,
donkey,donkey.n.01,the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874,A Donkey like you just wouldn't understand,hand_written,FALSE,
donkey,domestic_ass.n.01,domestic beast of burden descended from the African wild ass; patient but stubborn,A donkey says hee-haw very good,childes,TRUE,
