get_4,get,achieve a point or goal <br /> <i>(Example: The Brazilian team got 4 goals)</i>,receive as a retribution or punishment <br /> <i>(Example: Gonna get a smack in a bit)</i>,come to have or undergo a change of (physical features and attributes) <br /> <i>(Example: His eyes get big and soft)</i>,give certain properties to something <br /> <i>(Example: Get someone mad)</i>,come into the possession of something concrete or abstract <br /> <i>(Example: She got a lot of paintings from her uncle)</i>,5
white_3,white,free from moral blemish or impurity; unsullied <br /> <i>(Example: In shining white armor)</i>,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light <br /> <i>(Example: As white as fresh snow)</i>,,,,2
say_2,say,"speak, pronounce, or utter in a certain way <br /> <i>(Example: I cannot say `zip wire')</i>",indicate <br /> <i>(Example: The clock says noon)</i>,state as one's opinion or judgement; declare <br /> <i>(Example: I say let's forget this whole business)</i>,express in words <br /> <i>(Example: He said that he wanted to marry her)</i>,give instructions to or direct somebody to do something with authority <br /> <i>(Example: Mummy said don't give her any more)</i>,5
break_10,break,fall sharply <br /> <i>(Example: Stock prices broke)</i>,come to an end <br /> <i>(Example: The heat wave finally broke yesterday)</i>,cease an action temporarily <br /> <i>(Example: Let's break for lunch)</i>,reduce to bankruptcy <br /> <i>(Example: My daughter's fancy wedding is going to break me!)</i>,stop operating or functioning <br /> <i>(Example: The car broke down)</i>,5
stay_3,stay,stay behind <br /> <i>(Example: The smell stayed in the room)</i>,,,,,1
dirty_3,dirty,obtained illegally or by improper means <br /> <i>(Example: Dirty money)</i>,expressing or revealing hostility or dislike <br /> <i>(Example: Dirty looks)</i>,,,,2
popcorn_1,popcorn,corn having small ears and kernels that burst when exposed to dry heat <br /> <i>(Example: We grow popcorn in the farm)</i>,small kernels of corn exploded by heat <br /> <i>(Example: We had popcorn at the movies)</i>,,,,2
drawer_1,drawer,an artist skilled at drawing <br /> <i>(Example: I know but Daddy's the drawer not me)</i>,the person who writes a check or draft instructing the drawee to pay someone else <br /> <i>(Example: Are you the drawer for this check?)</i>,a boxlike container in a piece of furniture; made so as to slide in and out <br /> <i>(Example: Mom could you please grab the screw driver out of the drawer?)</i>,,,3
hit_3,hit,kill intentionally and with premeditation <br /> <i>(Example: The mafia boss ordered a hit)</i>,"affect or afflict suddenly, usually adversely <br /> <i>(Example: We were hit by really bad weather)</i>",hit the intended target or goal <br /> <i>(Example: We hit the sales target for this month)</i>,cause to move by striking <br /> <i>(Example: Hit a ball)</i>,pay unsolicited and usually unwanted sexual attention to <br /> <i>(Example: He tries to hit on women in bars)</i>,5
hot_4,hot,marked by excited activity <br /> <i>(Example: A hot week on the stock market)</i>,very fast; capable of quick response and great speed <br /> <i>(Example: A hot sports car)</i>,newest or most recent <br /> <i>(Example: News hot off the press)</i>,having or bringing unusually good luck <br /> <i>(Example: Hot at craps)</i>,wanted by the police <br /> <i>(Example: A hot suspect)</i>,5
stay_2,stay,fasten with stays <br /> <i>(Example: He stayed the shelf against the wall)</i>,"continue in a place, position, or situation <br /> <i>(Example: After graduation, she stayed on in Cambridge as a student adviser)</i>",stop a judicial process <br /> <i>(Example: The judge stayed the execution order)</i>,overcome or allay <br /> <i>(Example: Stay my hunger)</i>,hang on during a trial of endurance <br /> <i>(Example: Stay out the storm)</i>,5
