dirty_2,dirty,(of a manuscript) defaced with changes <br /> <i>(Example: Foul (or dirty) copy)</i>,(of color) discolored by impurities; not bright and clear;  is often used in combination <br /> <i>(Example: Dirty)</i>,(of behavior or especially language) characterized by obscenity or indecency <br /> <i>(Example: Dirty words)</i>,vile; despicable <br /> <i>(Example: A dirty (or lousy) trick)</i>,contaminated with infecting organisms <br /> <i>(Example: Dirty wounds)</i>,5
jelly_1,jelly,any substance having the consistency of jelly or gelatin <br /> <i>(Example: They put some jelly on my tummy and then we could see baby on the television)</i>,an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods <br /> <i>(Example: I had jelly for dessert)</i>,a preserve made of the jelled juice of fruit <br /> <i>(Example: Do you like jelly on toast?)</i>,,,3
block_2,block,a simple machine consisting of a wheel with a groove in which a rope can run to change the direction or point of application of a force applied to the rope <br /> <i>(Example: You need to use the block to open the curtains)</i>,the act of obstructing or deflecting someone's movements <br /> <i>(Example: Basketball players need to block their opponents when playing defense)</i>,a solid piece of something (usually having flat rectangular sides) <br /> <i>(Example: The pyramids were built with large stone blocks)</i>,a metal casting containing the cylinders and cooling ducts of an engine <br /> <i>(Example: The engine had to be replaced because the block was cracked)</i>,a platform from which an auctioneer sells <br /> <i>(Example: They put their paintings on the block)</i>,5
hot_5,hot,charged or energized with electricity <br /> <i>(Example: A hot wire)</i>,,,,,1
play_2,play,perform on a stage or theater <br /> <i>(Example: She acts in this play)</i>,play a role or part <br /> <i>(Example: Gielgud played Hamlet)</i>,emit recorded sound <br /> <i>(Example: The tape was playing for hours)</i>,make bets <br /> <i>(Example: Play the casinos in Trouville)</i>,play on an instrument <br /> <i>(Example: The band played all night long)</i>,5
give_1,give,allow to have or take <br /> <i>(Example: I give you two minutes to respond)</i>,"convey or communicate; of a smile, a look, a physical gesture <br /> <i>(Example: She gave me a dirty look)</i>","guide or direct, as by behavior of persuasion <br /> <i>(Example: You gave me to think that you agreed with me)</i>",transfer possession of something concrete or abstract to somebody <br /> <i>(Example: Can you give me lessons?)</i>,propose <br /> <i>(Example: He gave the first of many toasts at the birthday party)</i>,5
sky_1,sky,the atmosphere and outer space as viewed from the earth <br /> <i>(Example: The sky is blue)</i>,,,,,1
break_9,break,interrupt a continued activity <br /> <i>(Example: Lets break for lunch)</i>,make known to the public information that was previously known only to a few people or that was meant to be kept a secret <br /> <i>(Example: He broke the news to her)</i>,crack; of the male voice in puberty <br /> <i>(Example: His voice is breaking--he should no longer sing in the choir)</i>,happen <br /> <i>(Example: Things have been breaking pretty well for us in the past few months)</i>,discontinue an association or relation; go different ways <br /> <i>(Example: My friend and I broke up)</i>,5
draw_6,draw,"make, formulate, or derive in the mind <br /> <i>(Example: I draw a line here)</i>",write a legal document or paper <br /> <i>(Example: The deed was drawn in the lawyer's office)</i>,earn or achieve a base by being walked by the pitcher <br /> <i>(Example: He drew a base on balls)</i>,cause to localize at one point <br /> <i>(Example: Draw blood and pus)</i>,move or go steadily or gradually <br /> <i>(Example: The ship drew near the shore)</i>,5
dry_2,dry,without a mucous or watery discharge <br /> <i>(Example: A dry cough)</i>,practicing complete abstinence from alcoholic beverages <br /> <i>(Example: He's been dry for ten years)</i>,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet <br /> <i>(Example: Dry land)</i>,not shedding tears <br /> <i>(Example: Dry sobs)</i>,lacking interest or stimulation; dull and lifeless <br /> <i>(Example: A dry book)</i>,5
tuna_1,tuna,New Zealand eel <br /> <i>(Example: A New Zealand eel is also called a tuna)</i>,any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters <br /> <i>(Example: Tuna fishing is a large industry)</i>,important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks <br /> <i>(Example: We had grilled tuna for dinner)</i>,,,3
