lemma,sense_name,definition,example,example_source,notes,Num_WN_Examples,group_id
airplane,airplane.n.01,an aircraft that has a fixed wing and is powered by propellers or jets,The flight was delayed due to trouble with the airplane,wordnet,wordnet example,1,airplane_1
alligator,alligator.n.02,either of two amphibious reptiles related to crocodiles but with shorter broader snouts,He didn't want to be eaten by the alligator did he,childes,no wordnet example for sense,0,alligator_1
alligator,alligator.n.01,leather made from alligator's hide,She had an alligator purse,hand_written,no wordnet example for sense,0,alligator_1
animal,animal.n.01,a living organism characterized by voluntary movement,We saw animals at the zoo,hand_written,no wordnet example for sense,0,animal_1
ankle,ankle.n.01,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,Be careful you're walking around with your pants down by your ankles,childes,no wordnet example for sense,0,ankle_1
ant,ant.n.01,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,Queen ants may live up to fifteen years,childes,no wordnet example for sense,0,ant_1
apple,apple.n.01,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,"I don't have a pear, that's an apple",childes,no wordnet example for sense,0,apple_1
apple,apple.n.02,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,That's a nice apple tree,childes,no wordnet example for sense,0,apple_1
applesauce,applesauce.n.01,puree of stewed apples usually sweetened and spiced,I made some homemade applesauce,hand_written,no wordnet example for sense,0,applesauce_1
applesauce,folderol.n.01,nonsensical talk or writing,The baby talks applesauce,hand_written,no wordnet example for sense,0,applesauce_1
arm,arm.n.04,the part of an armchair or sofa that supports the elbow and forearm of a seated person,Did you bash your head on the chair arm?,childes,no wordnet example for sense,0,arm_1
arm,arm.n.02,any projection that is thought to resemble a human arm,The arm of the record player,wordnet,wordnet example,3,arm_1
arm,weapon.n.01,any instrument or instrumentality used in fighting or hunting,Right to bear arms,hand_written,no wordnet example for lemma,1,arm_1
arm,sleeve.n.01,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,She wiped it off with the arm of her coat,hand_written,no wordnet example for sense,0,arm_1
arm,branch.n.01,a division of some larger or more complex organization,There are three arms of the US government,hand_written,no wordnet example for lemma,3,arm_1
arm,arm.n.01,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,Please give me your arm,hand_written,no wordnet example for sense,0,arm_2
asleep,asleep.s.03,dead,"He is now asleep, our dear departed",hand_written,no wordnet example for lemma,2,asleep_1
asleep,asleep.a.01,in a state of sleep,We were all asleep when the phone rang,wordnet,wordnet example,2,asleep_1
asleep,asleep.s.02,lacking sensation,My foot is asleep,wordnet,wordnet example,2,asleep_1
