gloves_1,gloves,boxing equipment consisting of big and padded coverings for the fists of the fighters; worn for the sport of boxing <br /> <i>(Example: He bought a new pair of gloves for boxing)</i>,"handwear: covers the hand and wrist <br /> <i>(Example: Get your coat, your hat, and gloves)</i>",the handwear used by fielders in playing baseball <br /> <i>(Example: He has a glove and he's catching the ball)</i>,,,3
shorts_1,shorts,the fielding position of the player on a baseball team who is stationed between second and third base <br /> <i>(Example: He plays shortstop this game)</i>,underpants worn by men <br /> <i>(Example: You need shorts and trousers)</i>,"trousers that end at or above the knee <br /> <i>(Example: It's too hot for pants, let's go put on some shorts)</i>",accidental contact between two points in an electric circuit that have a potential difference <br /> <i>(Example: There was a short and the lights went out)</i>,the location on a baseball field where the shortstop is stationed <br /> <i>(Example: The ball flew directly to the short)</i>,5
cut_7,cut,lessen the strength or flavor of a solution or mixture <br /> <i>(Example: Cut bourbon)</i>,discharge from a group <br /> <i>(Example: The coach cut two players from the team)</i>,cut and assemble the components of <br /> <i>(Example: Cut recording tape)</i>,form or shape by cutting or incising <br /> <i>(Example: Cut paper dolls)</i>,style and tailor in a certain fashion <br /> <i>(Example: Cut a dress)</i>,5
light_3,light,(physics) electromagnetic radiation that can produce a visual sensation <br /> <i>(Example: The light was filtered through a soft glass window)</i>,any device serving as a source of illumination <br /> <i>(Example: He stopped the car and turned off the lights)</i>,the quality of being luminous; emitting or reflecting light <br /> <i>(Example: How much light do you need?)</i>,a person regarded very fondly <br /> <i>(Example: The light of my life)</i>,the visual effect of illumination on objects or scenes as created in pictures <br /> <i>(Example: He could paint the lightest light and the darkest dark)</i>,5
train_1,train,a series of consequences wrought by an event <br /> <i>(Example: It led to a train of disasters)</i>,a procession (of wagons or mules or camels) traveling together in single file <br /> <i>(Example: They joined the wagon train for safety)</i>,piece of cloth forming the long back section of a gown that is drawn along the floor <br /> <i>(Example: The bride's train was carried by her two young nephews)</i>,wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed <br /> <i>(Example: The fool got his tie caught in the geartrain)</i>,a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding <br /> <i>(Example: Train of mourners)</i>,5
cracker_1,cracker,firework consisting of a small explosive charge and fuse in a heavy paper casing <br /> <i>(Example: The city organizes a fire cracker show on 4th of July)</i>,a poor White person in the southern United States <br /> <i>(Example: The cracker had to crack his own corn)</i>,a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends <br /> <i>(Example: Confetti came out of a cracker)</i>,"a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things <br /> <i>(Example: Crackers are often mistakenly called hackers)</i>","a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet <br /> <i>(Example: We have to have lunch soon, we don't want to eat crackers all day long)</i>",5
work_6,work,move in an agitated manner <br /> <i>(Example: His fingers worked with tension)</i>,use or manipulate to one's advantage <br /> <i>(Example: She knows how to work the system)</i>,,,,2
fall_3,fall,lose one's chastity <br /> <i>(Example: A fallen woman)</i>,"fall from clouds <br /> <i>(Example: Rain, snow and sleet were falling)</i>",come into the possession of <br /> <i>(Example: Fall into the wrong hands)</i>,"die, as in battle or in a hunt <br /> <i>(Example: Several deer have fallen to the same gun)</i>","suffer defeat, failure, or ruin <br /> <i>(Example: We must stand or fall)</i>",5
feed_1,feed,provide as food <br /> <i>(Example: Feed the doggie)</i>,gratify <br /> <i>(Example: Feed one's eyes on a gorgeous view)</i>,"give a tip or gratuity to in return for a service, beyond the compensation agreed on <br /> <i>(Example: Feed the steward)</i>","move along, of liquids <br /> <i>(Example: The Missouri feeds into the Mississippi)</i>",provide with fertilizers or add nutrients to <br /> <i>(Example: We should feed soil if we want to grow healthy plants)</i>,5
plate_1,plate,structural member consisting of a horizontal beam that provides bearing and anchorage <br /> <i>(Example: The plate in the wall was not installed properly)</i>,"(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score <br /> <i>(Example: You have to touch the plate, remember)</i>",a rigid layer of the Earth's crust that is believed to drift slowly <br /> <i>(Example: Earth's plates move constantly)</i>,"the quantity contained in a plate <br /> <i>(Example: Are you still hungry, do you want another plate?)</i>",a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners) <br /> <i>(Example: The riot police were armed with plates)</i>,5
