group_id,lemma,1,2,3,4,5,num_senses
belt_1,belt,the act of hitting vigorously <br /> <i>(Example: He gave the table a belt)</i>,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun <br /> <i>(Example: The belt fed through the machine as shots rung out)</i>,endless loop of flexible material between two rotating shafts or pulleys <br /> <i>(Example: The drive belt broke)</i>,an elongated region where a specific condition or characteristic is found <br /> <i>(Example: A belt of high pressure)</i>,"a path or strip (as cut by one course of mowing) <br /> <i>(Example: He mowed the lawn, cutting belts of grass)</i>",5
touch_2,touch,"make physical contact with, come in contact with <br /> <i>(Example: She never touched her husband)</i>",color lightly <br /> <i>(Example: The leaves were touched with red in November)</i>,tamper with <br /> <i>(Example: Don't touch my CDs!)</i>,to extend as far as <br /> <i>(Example: The chair must not touch the wall)</i>,be relevant to <br /> <i>(Example: To touch on your previous idea)</i>,5
think_1,think,have or formulate in the mind <br /> <i>(Example: Think good thoughts)</i>,imagine or visualize <br /> <i>(Example: Just think--you could be rich one day!)</i>,"expect, believe, or suppose <br /> <i>(Example: He didn't think to find her in the kitchen)</i>","ponder; reflect on, or reason about <br /> <i>(Example: Think the matter through)</i>",recall knowledge from memory; have a recollection <br /> <i>(Example: I can't think what her last name was)</i>,5
vacuum_1,vacuum,an electrical home appliance that cleans by suction <br /> <i>(Example: Going to have to go round with the vacuum cleaner I think and pick up all these bits)</i>,an empty area or space <br /> <i>(Example: Without their support he'll be ruling in a vacuum)</i>,the absence of matter <br /> <i>(Example: Black holes are vacuums)</i>,a region that is devoid of matter <br /> <i>(Example: The huge desert vacuum)</i>,,4
better_1,better,(comparative of `good') changed for the better in health or fitness <br /> <i>(Example: I feel better)</i>,more than half <br /> <i>(Example: Argued for the better part of an hour)</i>,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another <br /> <i>(Example: She's better in math than in history)</i>,(comparative and superlative of `well') wiser or more advantageous and hence advisable <br /> <i>(Example: It would be better to speak to him)</i>,,4
long_1,long,of relatively great height <br /> <i>(Example: A race of long gaunt men)</i>,having or being more than normal or necessary: <br /> <i>(Example: Long on brains)</i>,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified <br /> <i>(Example: A long life)</i>,"(of speech sounds or syllables) of relatively long duration <br /> <i>(Example: The English vowel sounds in `bate', `beat', `bite', `boat', `boot' are long)</i>",planning prudently for the future <br /> <i>(Example: Took a long view of the geopolitical issues)</i>,5
go_5,go,be awarded; be allotted <br /> <i>(Example: The first prize goes to Mary)</i>,to be spent or finished <br /> <i>(Example: The money had gone after a few days)</i>,"pass, fare, or elapse; of a certain state of affairs or action <br /> <i>(Example: How is it going?)</i>",follow a certain course <br /> <i>(Example: How did your interview go?)</i>,go through in search of something; search through someone's belongings in an unauthorized way <br /> <i>(Example: Don't go through my stuff)</i>,5
fast_1,fast,unwavering in devotion to friend or vow or cause <br /> <i>(Example: Fast friends)</i>,(used of timepieces) indicating a time ahead of or later than the correct time <br /> <i>(Example: My watch is fast)</i>,resistant to destruction or fading <br /> <i>(Example: Fast colors)</i>,(of surfaces) conducive to rapid speeds <br /> <i>(Example: A fast road)</i>,unrestrained by convention or morality <br /> <i>(Example: Fast women)</i>,5
big_3,big,exhibiting self-importance <br /> <i>(Example: Big talk)</i>,significant <br /> <i>(Example: Graduation was a big day in his life)</i>,given or giving freely <br /> <i>(Example: Was a big tipper)</i>,,,3
pool_2,pool,a small lake <br /> <i>(Example: The pool was too small for sailing)</i>,something resembling a pool of liquid <br /> <i>(Example: He stood in a pool of light)</i>,an association of companies for some definite purpose <br /> <i>(Example: The pool of companies worked together to finish the product)</i>,the combined stakes of the betters <br /> <i>(Example: I'll put $50 in the pool)</i>,,4
coffee_1,coffee,a medium brown to dark-brown color <br /> <i>(Example: The wall was a dark coffee)</i>,a seed of the coffee tree; ground to make coffee <br /> <i>(Example: A buy my own coffee beans)</i>,any of several small trees and shrubs native to the tropical Old World yielding coffee beans <br /> <i>(Example: There is a field of coffee trees over there)</i>,a beverage consisting of an infusion of ground coffee beans <br /> <i>(Example: He ordered a cup of coffee)</i>,,4
basket_1,basket,horizontal circular metal hoop supporting a net through which players try to throw the basketball <br /> <i>(Example: Can you jump high enough to touch the basket?)</i>,a container that is usually woven and has handles <br /> <i>(Example: Get a shopping basket)</i>,the quantity contained in a basket <br /> <i>(Example: I have a basket of strawberries)</i>,a score in basketball made by throwing the ball through the hoop <br /> <i>(Example: He made the basket)</i>,,4
noisy_1,noisy,attracting attention by showiness or bright colors <br /> <i>(Example: A noisy sweater)</i>,full of or characterized by loud and nonmusical sounds <br /> <i>(Example: A noisy cafeteria)</i>,,,,2
shake_1,shake,get rid of <br /> <i>(Example: I couldn't shake the car that was following me)</i>,move with or as if with a tremor <br /> <i>(Example: His hands shook)</i>,move or cause to move back and forth <br /> <i>(Example: My hands were shaking)</i>,undermine or cause to waver <br /> <i>(Example: My faith has been shaken)</i>,shake or vibrate rapidly and intensively <br /> <i>(Example: Now shake them up)</i>,5
read_3,read,to hear and understand <br /> <i>(Example: I read you loud and clear!)</i>,,,,,1
bring_2,bring,induce or persuade <br /> <i>(Example: The confession of one of the accused brought the others to admit to the crime as well)</i>,advance or set forth in court <br /> <i>(Example: Bring charges)</i>,attract the attention of <br /> <i>(Example: The noise and the screaming brought the curious)</i>,cause to happen or to occur as a consequence <br /> <i>(Example: Bring comments)</i>,"be sold for a certain price <br /> <i>(Example: The painting brought $10,000)</i>",5
table_2,table,a company of people assembled at a table for a meal or game <br /> <i>(Example: He entertained the whole table with his witty remarks)</i>,,,,,1
finish_1,finish,finally be or do something <br /> <i>(Example: I gotta finish doing this with Violet)</i>,provide with a finish <br /> <i>(Example: The carpenter finished the table beautifully)</i>,come or bring to a finish or an end <br /> <i>(Example: He finished the dishes)</i>,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical <br /> <i>(Example: The song finished)</i>",cause to finish a relationship with somebody <br /> <i>(Example: That finished me with Mary)</i>,5
naughty_1,naughty,badly behaved <br /> <i>(Example: A naughty boy)</i>,suggestive of sexual impropriety <br /> <i>(Example: A naughty wink)</i>,,,,2
