donut_1,donut,a small ring-shaped friedcake <br /> <i>(Example: What if they don't have sprinkle donuts would you like a different kind?)</i>,,,,,1
boots_1,boots,the swift release of a store of affective force <br /> <i>(Example: What a boot!)</i>,British term for the luggage compartment in a car <br /> <i>(Example: Put the luggage in the boot)</i>,footwear that covers the whole foot and lower leg <br /> <i>(Example: I bought new boots)</i>,protective casing for something that resembles a leg <br /> <i>(Example: He wore a boot for his broken ankle)</i>,the act of delivering a blow with the foot <br /> <i>(Example: She gave him the boot)</i>,5
leg_2,leg,a structure in animals that is similar to a human leg and used for locomotion <br /> <i>(Example: The spider had eight legs)</i>,a cloth covering consisting of the part of a pair of trousers that covers a person's leg <br /> <i>(Example: You can't pull the legs down on shorts)</i>,(nautical) the distance traveled by a sailing vessel on a single tack <br /> <i>(Example: The next leg of the journey should take 30 days)</i>,a part of a forked or branching shape <br /> <i>(Example: He broke off the left leg of the branch)</i>,,4
broken_2,broken,subdued or brought low in condition or status <br /> <i>(Example: A broken man)</i>,"not continuous in space, time, or sequence or varying abruptly <br /> <i>(Example: Broken lines of defense)</i>",weakened and infirm <br /> <i>(Example: Broken health resulting from alcoholism)</i>,destroyed financially <br /> <i>(Example: The broken fortunes of the family)</i>,out of working order <br /> <i>(Example: A broken washing machine)</i>,5
tongue_1,tongue,any long thin projection that is transient <br /> <i>(Example: Tongues of flame licked at the walls)</i>,a manner of speaking <br /> <i>(Example: He spoke with a thick tongue)</i>,a narrow strip of land that juts out into the sea <br /> <i>(Example: A tongue of the sea)</i>,the tongue of certain animals used as meat <br /> <i>(Example: I don't like to eat cow tongue)</i>,a human written or spoken language used by a community; opposed to e.g. a computer language <br /> <i>(Example: Do you speak her tongue?)</i>,5
clap_1,clap,clap one's hands together <br /> <i>(Example: The children were clapping to the music)</i>,strike together so as to produce a sharp percussive noise <br /> <i>(Example: Clap two boards together)</i>,clap one's hands or shout after performances to indicate approval <br /> <i>(Example: The audience clapped)</i>,"strike with the flat of the hand; usually in a friendly way, as in encouragement or greeting <br /> <i>(Example: His dad clapped his back after he made the goal)</i>",put quickly or forcibly <br /> <i>(Example: The judge clapped him in jail)</i>,5
hold_8,hold,organize or be responsible for <br /> <i>(Example: Hold a reception)</i>,,,,,1
rock_1,rock,a lump or mass of hard consolidated mineral matter <br /> <i>(Example: He threw a rock at me)</i>,(figurative) someone who is strong and stable and dependable <br /> <i>(Example: He was her rock during the crisis)</i>,material consisting of the aggregate of minerals like those making up the Earth's crust <br /> <i>(Example: That mountain is solid rock)</i>,a genre of popular music originating in the 1950s; a blend of black rhythm-and-blues with white country-and-western <br /> <i>(Example: Rock is a generic term for the range of styles that evolved out of rock'n'roll)</i>,hard bright-colored stick candy (typically flavored with peppermint) <br /> <i>(Example: The rock candy turned your mouth blue)</i>,5
underpants_1,underpants,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin <br /> <i>(Example: Okay let's find you some underpants)</i>,,,,,1
hold_5,hold,"to close within bounds, limit or hold back from movement <br /> <i>(Example: This holds the local until the express passengers change trains)</i>",resist or confront with resistance <br /> <i>(Example: The bridge held)</i>,be the physical support of; carry the weight of <br /> <i>(Example: The beam holds up the roof)</i>,secure and keep for possible future use or application <br /> <i>(Example: I hold the right to disagree)</i>,"take and maintain control over, often by violent means <br /> <i>(Example: The dissatisfied students held the President's office for almost a week)</i>",5
oven_1,oven,kitchen appliance used for baking or roasting <br /> <i>(Example: I think there's cake cooking in this oven)</i>,,,,,1
snowman_1,snowman,a figure of a person made of packed snow <br /> <i>(Example: Let's build a snowman)</i>,,,,,1
drop_2,drop,cause to fall by or as if by delivering a blow <br /> <i>(Example: Drop down a tree)</i>,let fall to the ground <br /> <i>(Example: Don't drop the dishes)</i>,stop pursuing or acting <br /> <i>(Example: Drop a lawsuit)</i>,pay out <br /> <i>(Example: Don't drop money on that)</i>,hang freely <br /> <i>(Example: The light dropped from the ceiling)</i>,5
catch_6,catch,contract <br /> <i>(Example: Did you catch a cold?)</i>,attract and fix <br /> <i>(Example: Catch the attention of the waiter)</i>,detect a blunder or misstep <br /> <i>(Example: The reporter caught the senator)</i>,spread or be communicated <br /> <i>(Example: The fashion did not catch)</i>,,4
first_2,first,indicating the beginning unit in a series <br /> <i>(Example: First in line)</i>,,,,,1
get_5,get,reach with a blow or hit in a particular spot <br /> <i>(Example: The blow got him in the back)</i>,be a mystery or bewildering to <br /> <i>(Example: This question really got me)</i>,cause to do; cause to act in a specified manner <br /> <i>(Example: My children finally got me to buy a computer)</i>,move into a desired direction of discourse <br /> <i>(Example: What are you getting at?)</i>,reach a destination; arrive by movement or progress <br /> <i>(Example: She didn't get to Chicago until after midnight)</i>,5
run_5,run,have a tendency or disposition to do or be something; be inclined <br /> <i>(Example: These dresses run small)</i>,"move fast by using one's feet, with one foot off the ground at any given time <br /> <i>(Example: Don't run--you'll be out of breath)</i>",be affected by; be subjected to <br /> <i>(Example: Run a temperature)</i>,cause to emit recorded audio or video <br /> <i>(Example: They ran the tapes over and over again)</i>,make without a miss <br /> <i>(Example: We had a 10-0 run against the best team)</i>,5
slipper_1,slipper,"low footwear that can be slipped on and off easily; usually worn indoors <br /> <i>(Example: Where's my other slipper, my foot is getting cold)</i>",a person who slips or slides because of loss of traction <br /> <i>(Example: We have another slipper coming through)</i>,,,,2
close_1,close,engage at close quarters <br /> <i>(Example: Close with the enemy)</i>,change one's body stance so that the forward shoulder and foot are closer to the intended point of impact <br /> <i>(Example: He closed his stance towards the target)</i>,move so that an opening or passage is obstructed; make shut <br /> <i>(Example: Close the door)</i>,be priced or listed when trading stops <br /> <i>(Example: The stock market closed high this Friday)</i>,come to a close <br /> <i>(Example: The concert closed with a nocturne by Chopin)</i>,5
paper_1,paper,an essay (especially one written as an assignment) <br /> <i>(Example: I thought I missed that paper)</i>,a scholarly article describing the results of observations or stating hypotheses <br /> <i>(Example: He has written many scientific papers)</i>,a daily or weekly publication on folded sheets; contains news and articles and advertisements <br /> <i>(Example: He read his newspaper at breakfast)</i>,the physical object that is the product of a newspaper publisher <br /> <i>(Example: When it began to rain he covered his head with a newspaper)</i>,a business firm that publishes newspapers <br /> <i>(Example: Murdoch owns many newspapers)</i>,5
picture_1,picture,a situation treated as an observable object <br /> <i>(Example: The political picture is favorable)</i>,a typical example of some state or quality <br /> <i>(Example: The very picture of a modern general)</i>,a clear and telling mental image <br /> <i>(Example: He described his mental picture of his assailant)</i>,a visual representation (of an object or scene or person or abstraction) produced on a surface <br /> <i>(Example: They showed us the pictures of their wedding)</i>,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material <br /> <i>(Example: Lets take a picture)</i>,5
pasta_1,pasta,shaped and dried dough made from flour and water and sometimes egg <br /> <i>(Example: It's elbow pasta)</i>,a dish that contains pasta as its main ingredient <br /> <i>(Example: I'm making small amount of that angel hair pasta)</i>,,,,2
fall_7,fall,pass suddenly and passively into a state of body or mind <br /> <i>(Example: Fall into a trap)</i>,be captured <br /> <i>(Example: The cities fell to the enemy)</i>,,,,2
pillow_1,pillow,"a cushion to support the head of a sleeping person <br /> <i>(Example: Where did your pillow go, how are you going to sleep?)</i>",,,,,1
bench_2,bench,(law) the seat for judges in a courtroom <br /> <i>(Example: He approached the bench with a document in hand)</i>,a long seat for more than one person <br /> <i>(Example: Do you want to sit on the bench?)</i>,,,,2
sandwich_1,sandwich,two (or more) slices of bread with a filling between them <br /> <i>(Example: I'm going to have my sandwich on a plate)</i>,,,,,1
work_2,work,cause to happen or to occur as a consequence <br /> <i>(Example: I cannot work a miracle)</i>,be employed <br /> <i>(Example: Is your husband working again?)</i>,"make something, usually for a specific function <br /> <i>(Example: Work the metal into a sword)</i>",perform as expected when applied <br /> <i>(Example: This old radio doesn't work anymore)</i>,operate in or through <br /> <i>(Example: Work the phones)</i>,5
gum_1,gum,the tissue (covered by mucous membrane) of the jaws that surrounds the bases of the teeth <br /> <i>(Example: Brush your teeth and gums)</i>,wood or lumber from any of various gum trees especially the sweet gum <br /> <i>(Example: Wood from the gum tree is used to make furniture)</i>,a preparation (usually made of sweetened chicle) for chewing <br /> <i>(Example: Kids love bubble gum)</i>,cement consisting of a sticky substance that is used as an adhesive <br /> <i>(Example: She used gum to hold the parts together)</i>,any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying <br /> <i>(Example: The gum is oozing out of the tree)</i>,5
napkin_1,napkin,a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing <br /> <i>(Example: When you're finished eating all you have to do is wipe them a little bit on a napkin)</i>,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement <br /> <i>(Example: Make sure she has a napkin on before we leave)</i>,,,,2
